ChunkNo,Server,Latency,Bitrate,Timestamp
183,0,0.0202097892761,1,1406243248.66
184,0,0.0174400806427,0,1406243248.68
185,1,0.017804145813,0,1406243248.72
186,0,0.019788980484,1,1406243248.75
187,0,0.0437979698181,1,1406243248.81
188,0,0.0181801319122,0,1406243248.83
189,1,0.0184850692749,0,1406243248.86
190,0,0.026417016983,1,1406243248.94
191,0,0.0330109596252,1,1406243248.99
192,0,0.0336182117462,1,1406243249.05
193,0,0.0293078422546,1,1406243249.09
194,0,0.0303440093994,1,1406243249.15
195,0,0.0195100307465,1,1406243249.18
196,0,0.0204350948334,1,1406243249.21
197,0,0.0197219848633,1,1406243249.24
198,0,0.0184319019318,0,1406243249.27
199,1,0.0177850723267,0,1406243249.3
200,1,0.0192360877991,1,1406243249.33
201,1,0.0197298526764,1,1406243249.36
202,1,0.0194499492645,1,1406243249.39
203,1,0.0194580554962,1,1406243249.49
204,1,0.0290069580078,1,1406243249.53
205,1,0.0566349029541,1,1406243249.61
206,1,0.032438993454,1,1406243249.67
207,1,0.0329718589783,1,1406243249.72
208,0,0.029256105423,0,1406243249.77
209,1,0.0298140048981,0,1406243249.83
210,0,0.0307948589325,1,1406243249.88
211,0,0.0206911563873,1,1406243249.92
212,0,0.0196199417114,1,1406243249.95
213,0,0.0186579227448,1,1406243249.98
214,0,0.0206029415131,1,1406243250.04
215,0,0.0205149650574,1,1406243250.07
216,0,0.0208358764648,1,1406243250.11
217,0,0.0201289653778,1,1406243250.14
218,0,0.110299825668,0,1406243250.27
219,1,0.0302910804749,0,1406243250.32
220,1,0.0309879779816,1,1406243250.37
221,1,0.0316910743713,1,1406243250.42
222,1,0.0331320762634,1,1406243250.48
223,1,0.0326070785522,1,1406243250.53
224,1,0.0336098670959,1,1406243250.59
225,1,0.0321061611176,1,1406243250.64
226,1,0.0230491161346,1,1406243250.98
227,1,0.0336198806763,1,1406243251.04
228,0,0.02943110466,0,1406243251.09
229,1,0.0294830799103,0,1406243251.15
230,0,0.0303421020508,1,1406243251.2
231,0,0.0311369895935,1,1406243251.25
232,0,0.0214200019836,1,1406243251.46
233,0,0.0313379764557,1,1406243251.51
234,0,0.0298690795898,1,1406243251.56
235,0,0.0301358699799,1,1406243251.61
236,0,0.0224800109863,1,1406243251.66
237,0,0.0184798240662,1,1406243251.69
238,0,0.0182421207428,0,1406243251.75
239,1,0.0172069072723,0,1406243251.78
240,1,0.0191130638123,1,1406243251.81
241,1,0.0177140235901,1,1406243251.84
242,1,0.0178599357605,1,1406243251.87
243,1,0.0184879302979,1,1406243251.9
244,1,0.0186579227448,1,1406243251.93
245,1,0.0322530269623,1,1406243251.98
246,1,0.0328419208527,1,1406243252.03
247,1,0.0302860736847,1,1406243252.09
248,0,0.0273499488831,0,1406243252.14
249,1,0.034383058548,0,1406243252.19
250,0,0.0310080051422,1,1406243252.24
251,0,0.0199937820435,1,1406243252.29
252,0,0.0180180072784,1,1406243252.32
253,0,0.207747936249,1,1406243252.54
254,0,0.0531449317932,1,1406243252.61
255,0,0.0685949325562,1,1406243252.7
256,0,0.0780820846558,1,1406243252.8
257,0,0.0329351425171,1,1406243252.86
258,0,0.0318119525909,0,1406243252.91
259,1,0.0280640125275,0,1406243252.96
260,1,0.0303130149841,1,1406243253.01
261,1,0.0311360359192,1,1406243253.07
262,1,0.030070066452,1,1406243253.12
263,1,0.0222330093384,1,1406243253.49
264,1,0.0315179824829,1,1406243253.54
265,1,0.0420889854431,1,1406243253.61
266,1,0.0293900966644,1,1406243253.65
267,1,0.0306549072266,1,1406243253.71
268,0,0.0309970378876,0,1406243253.76
269,1,0.02756690979,0,1406243253.81
270,1,0.0296280384064,1,1406243253.86
271,1,0.0273840427399,1,1406243253.91
272,1,0.0202519893646,1,1406243253.94
273,1,0.0197207927704,1,1406243253.97
274,1,0.0189039707184,1,1406243254.0
275,1,0.0217258930206,1,1406243254.03
276,1,0.0204739570618,1,1406243254.07
277,1,0.0195000171661,1,1406243254.1
278,0,0.0183689594269,0,1406243254.13
279,1,0.0190169811249,0,1406243254.16
280,0,0.0204298496246,1,1406243254.19
281,0,0.0192339420319,1,1406243254.22
